Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,39.799999,40.931999,38.099998,38.970001,38.970001,2102200
2022-04-08,38.779999,39.529999,37.810001,38.419998,38.419998,1818500
2022-04-11,38.360001,39.889000,37.750000,38.959999,38.959999,1263700
2022-04-12,40.119999,41.740002,38.139999,38.250000,38.250000,1969300
2022-04-13,38.200001,40.810001,37.860001,40.110001,40.110001,1886200
2022-04-14,39.740002,40.099998,38.437000,38.950001,38.950001,1994400
2022-04-18,38.950001,38.990002,36.930000,38.310001,38.310001,1529900
2022-04-19,37.970001,40.349998,37.970001,39.779999,39.779999,1656800
2022-04-20,40.209999,40.299999,37.770000,38.119999,38.119999,2186600
2022-04-21,39.130001,39.990002,35.250000,35.830002,35.830002,1849000
2022-04-22,36.150002,37.055000,33.950001,34.060001,34.060001,2875900
2022-04-25,33.959999,35.360001,33.770000,34.959999,34.959999,2238200
2022-04-26,34.560001,34.965000,32.209999,32.310001,32.310001,2238800
2022-04-27,32.970001,34.680000,31.760000,32.000000,32.000000,1859000
2022-04-28,32.669998,34.459999,31.355000,34.330002,34.330002,2260500
2022-04-29,33.650002,35.330002,31.120001,31.240000,31.240000,2290000
2022-05-02,30.760000,31.760000,29.309999,31.150000,31.150000,2802100
2022-05-03,30.730000,31.530001,28.900000,30.930000,30.930000,3245800
2022-05-04,31.260000,33.720001,28.820000,33.450001,33.450001,3725000
2022-05-05,32.570000,32.599998,27.430000,28.250000,28.250000,4608900
2022-05-06,25.240000,25.240000,21.170000,23.730000,23.730000,10711500
2022-05-09,22.950001,23.660000,19.900000,19.930000,19.930000,6552600
2022-05-10,21.200001,21.490000,18.264999,19.719999,19.719999,6914100
2022-05-11,19.500000,20.700001,18.129999,18.420000,18.420000,4002700
2022-05-12,17.969999,21.730000,17.365000,19.299999,19.299999,8271600
2022-05-13,20.049999,22.610001,20.049999,21.540001,21.540001,3879700
2022-05-16,21.120001,21.959999,19.280001,19.340000,19.340000,3371500
2022-05-17,20.240000,21.150000,18.730000,20.000000,20.000000,2592600
2022-05-18,19.010000,19.480000,17.219999,17.930000,17.930000,5323800
2022-05-19,17.740000,19.549999,17.379999,18.500000,18.500000,4547900
2022-05-20,19.110001,19.440001,17.150000,18.910000,18.910000,5132300
2022-05-23,18.990000,19.590000,18.420000,19.360001,19.360001,3772500
2022-05-24,18.730000,18.930000,16.483000,17.760000,17.760000,4422500
2022-05-25,17.450001,19.180000,17.219999,18.719999,18.719999,2709200
2022-05-26,18.709999,20.219999,18.129999,19.740000,19.740000,3657500
2022-05-27,19.870001,21.389999,19.870001,21.360001,21.360001,3450400
2022-05-31,21.090000,22.040001,20.889999,21.129999,21.129999,3715500
2022-06-01,21.195000,21.879999,20.040001,20.820000,20.820000,2202000
2022-06-02,20.709999,23.230000,20.639999,22.760000,22.760000,3302400
2022-06-03,22.049999,22.799999,21.420000,21.660000,21.660000,1922700
2022-06-06,22.790001,22.990000,21.590000,22.400000,22.400000,2810600
2022-06-07,21.950001,23.120001,21.540001,22.440001,22.440001,3106600
2022-06-08,22.320000,23.514999,22.320000,23.000000,23.000000,2073300
2022-06-09,22.770000,23.570000,21.915001,22.070000,22.070000,1931000
2022-06-10,21.230000,21.636999,19.625000,20.629999,20.629999,3036100
2022-06-13,19.290001,19.709999,17.799999,17.980000,17.980000,3473300
2022-06-14,18.080000,18.600000,17.480000,18.070000,18.070000,2803600
2022-06-15,18.510000,19.980000,18.360001,19.500000,19.500000,4386200
2022-06-16,18.530001,19.629999,17.975000,18.670000,18.670000,3845300
2022-06-17,19.059999,20.455000,19.020000,20.090000,20.090000,10303500
2022-06-21,20.590000,21.709999,20.296000,21.260000,21.260000,3089400
2022-06-22,20.830000,22.049999,20.750000,21.620001,21.620001,3293100
2022-06-23,21.790001,23.450001,21.730000,23.219999,23.219999,2244300
2022-06-24,23.490000,25.379999,22.985001,25.280001,25.280001,12596200
2022-06-27,25.240000,25.709999,23.809999,25.250000,25.250000,3125400
2022-06-28,25.049999,26.059999,23.620001,23.840000,23.840000,2906200
2022-06-29,23.719999,24.340000,23.195000,23.670000,23.670000,1967800
2022-06-30,23.350000,24.139999,22.360001,23.240000,23.240000,3274200
2022-07-01,24.010000,24.860001,22.680000,24.540001,24.540001,1771400
2022-07-05,24.059999,27.469999,23.459999,27.250000,27.250000,3050600
2022-07-06,27.219999,27.910000,26.530001,26.990000,26.990000,2367900
2022-07-07,26.959999,28.680000,26.959999,28.650000,28.650000,1580300
2022-07-08,27.790001,29.570000,27.295000,28.900000,28.900000,1844100
2022-07-11,28.490000,28.790001,27.120001,27.299999,27.299999,2485300
2022-07-12,27.520000,28.730000,24.445000,25.309999,25.309999,3405200
2022-07-13,24.540001,25.629999,24.059999,24.860001,24.860001,1925200
2022-07-14,24.680000,24.879999,23.139999,23.480000,23.480000,1356900
2022-07-15,23.840000,24.580000,22.950001,24.020000,24.020000,1287300
2022-07-18,24.639999,25.670000,23.910000,24.010000,24.010000,1393800
2022-07-19,24.790001,24.820000,23.379999,24.040001,24.040001,1583500
2022-07-20,24.190001,27.570000,23.930000,27.160000,27.160000,2582700
2022-07-21,26.959999,27.959999,26.260000,27.860001,27.860001,1410900
2022-07-22,27.700001,28.350000,25.080000,25.600000,25.600000,1497500
2022-07-25,25.379999,25.440001,24.065001,24.520000,24.520000,1805000
2022-07-26,24.240000,24.360001,22.504999,22.770000,22.770000,2428900
2022-07-27,23.180000,25.000000,22.594999,24.700001,24.700001,2575800
2022-07-28,24.780001,25.629999,24.040001,25.270000,25.270000,2017800
2022-07-29,25.450001,26.340000,24.995001,25.450001,25.450001,1440200
2022-08-01,24.910000,26.575001,24.620001,25.950001,25.950001,1283400
2022-08-02,25.309999,27.230000,25.215000,26.840000,26.840000,1399000
2022-08-03,27.299999,29.379999,27.150000,29.020000,29.020000,3614500
2022-08-04,31.000000,32.500000,30.370001,32.340000,32.340000,5322100
2022-08-05,31.350000,34.310001,31.120001,33.730000,33.730000,4096600
2022-08-08,32.610001,34.389999,31.570000,33.560001,33.560001,4188100
2022-08-09,32.450001,32.450001,29.764999,30.820000,30.820000,3654400
2022-08-10,32.759998,32.930000,31.711000,32.450001,32.450001,3104600
2022-08-11,33.049999,33.430000,29.995001,30.950001,30.950001,3283100
2022-08-12,31.160000,33.330002,30.750000,33.299999,33.299999,2213200
2022-08-15,32.919998,33.349998,31.730000,33.040001,33.040001,1653800
2022-08-16,32.650002,33.000000,31.129999,31.780001,31.780001,2043600
2022-08-17,30.910000,31.500000,30.040001,30.600000,30.600000,1510300
2022-08-18,30.559999,31.059999,30.000000,30.860001,30.860001,1241100
2022-08-19,30.170000,30.200001,27.820000,28.940001,28.940001,1891300
2022-08-22,28.090000,28.240000,26.910000,27.600000,27.600000,1988000
2022-08-23,27.910000,29.601999,27.740000,27.750000,27.750000,1178300
2022-08-24,27.850000,29.440001,27.629999,28.870001,28.870001,1278200
2022-08-25,29.780001,30.629999,29.389999,30.139999,30.139999,1402600
2022-08-26,30.150000,30.480000,27.889999,28.350000,28.350000,2020500
2022-08-29,27.469999,28.070000,27.059999,27.240000,27.240000,1991200
2022-08-30,27.820000,28.170000,26.610001,27.450001,27.450001,1580200
2022-08-31,27.799999,28.260000,26.930000,27.360001,27.360001,1713600
2022-09-01,26.639999,26.730000,24.660000,25.750000,25.750000,2888200
2022-09-02,26.559999,26.559999,24.500000,24.719999,24.719999,1664800
2022-09-06,24.700001,25.469999,24.280001,24.670000,24.670000,1415600
2022-09-07,24.620001,25.780001,24.340000,25.670000,25.670000,1214700
2022-09-08,25.370001,27.020000,25.184999,26.660000,26.660000,1520800
2022-09-09,27.180000,28.190001,27.180000,27.360001,27.360001,2264100
2022-09-12,27.400000,29.205000,27.129999,29.070000,29.070000,2246500
2022-09-13,27.049999,27.590000,26.420000,26.580000,26.580000,2406300
2022-09-14,26.580000,27.430000,25.780001,27.430000,27.430000,2029700
2022-09-15,26.850000,27.930000,26.254999,26.500000,26.500000,2076000
2022-09-16,25.565001,26.264999,24.794001,25.219999,25.219999,4160100
2022-09-19,24.809999,25.480000,24.170000,25.020000,25.020000,2043700
2022-09-20,24.600000,24.969999,23.670000,23.750000,23.750000,2141300
2022-09-21,24.059999,25.400000,23.570000,24.240000,24.240000,1797500
2022-09-22,23.959999,24.440001,22.740000,22.809999,22.809999,1909100
2022-09-23,22.209999,22.650000,21.290001,21.900000,21.900000,2036400
2022-09-26,21.820000,23.129999,21.600000,21.860001,21.860001,1377200
2022-09-27,22.660000,23.430000,22.340000,22.740000,22.740000,1780000
2022-09-28,22.950001,23.895000,22.680000,23.799999,23.799999,2151100
2022-09-29,23.059999,23.500000,22.200001,23.250000,23.250000,2016200
2022-09-30,23.320000,25.319000,23.139999,23.770000,23.770000,2266100
2022-10-03,23.850000,24.875000,23.100000,24.730000,24.730000,2490800
2022-10-04,25.730000,27.410000,25.730000,26.910000,26.910000,3149300
2022-10-05,26.040001,27.879999,25.575001,27.790001,27.790001,2828000
2022-10-06,27.680000,28.420000,27.440001,27.600000,27.600000,2066800
2022-10-07,26.660000,26.865000,24.441000,24.830000,24.830000,2135100
2022-10-10,24.780001,24.830000,23.110001,23.480000,23.480000,1346200
2022-10-11,23.309999,23.600000,21.959999,22.889999,22.889999,1647100
2022-10-12,22.750000,23.377001,22.160000,23.209999,23.209999,1469300
