Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,136.110001,140.750000,132.860001,137.240005,137.240005,2340600
2022-04-08,134.789993,137.279999,132.132996,134.289993,134.289993,2377200
2022-04-11,131.630005,137.869995,130.684998,135.089996,135.089996,2726900
2022-04-12,140.000000,145.190002,134.800003,135.500000,135.500000,2991300
2022-04-13,134.949997,144.419998,134.750000,142.869995,142.869995,2855000
2022-04-14,142.669998,142.854996,135.350006,136.039993,136.039993,2311100
2022-04-18,135.000000,135.585007,127.059998,131.110001,131.110001,2213800
2022-04-19,131.429993,138.800003,129.919998,137.279999,137.279999,3000200
2022-04-20,138.580002,138.580002,130.199997,131.619995,131.619995,2124200
2022-04-21,133.649994,137.440002,121.209999,121.820000,121.820000,3134900
2022-04-22,123.410004,125.389999,117.945000,118.400002,118.400002,4421700
2022-04-25,118.489998,124.599998,117.860001,121.680000,121.680000,9132000
2022-04-26,121.610001,124.790001,118.199997,119.349998,119.349998,5972800
2022-04-27,122.610001,127.430000,119.610001,120.440002,120.440002,4202200
2022-04-28,124.089996,130.699997,121.000000,128.470001,128.470001,3880200
2022-04-29,126.510002,130.660004,120.360001,120.779999,120.779999,3902300
2022-05-02,119.940002,123.339996,116.180000,120.199997,120.199997,4289300
2022-05-03,119.070000,121.169998,112.800003,114.889999,114.889999,5419500
2022-05-04,116.070000,119.330002,104.769997,119.000000,119.000000,6707800
2022-05-05,118.000000,124.430000,106.860001,111.870003,111.870003,11142000
2022-05-06,109.750000,118.599998,101.370003,110.000000,110.000000,8274800
2022-05-09,105.099998,108.059998,96.080002,97.529999,97.529999,8865800
2022-05-10,101.349998,104.510002,92.389999,98.309998,98.309998,7323500
2022-05-11,96.129997,104.739998,94.180000,97.870003,97.870003,7493100
2022-05-12,95.500000,105.620003,92.610001,98.830002,98.830002,7124100
2022-05-13,103.150002,109.730003,101.610001,108.860001,108.860001,6217000
2022-05-16,106.830002,108.930000,96.095001,97.190002,97.190002,6186200
2022-05-17,100.379997,102.000000,87.559998,95.050003,95.050003,9610400
2022-05-18,94.129997,95.050003,84.690002,88.070000,88.070000,9012000
2022-05-19,89.830002,100.610001,88.900002,96.525002,96.525002,8149000
2022-05-20,98.519997,100.930000,90.180000,94.790001,94.790001,6090900
2022-05-23,94.529999,95.958000,90.160004,93.930000,93.930000,4170900
2022-05-24,91.930000,92.660004,84.139999,85.809998,85.809998,4988000
2022-05-25,84.690002,90.379997,83.849998,88.730003,88.730003,5822900
2022-05-26,83.209999,91.605003,82.150002,89.629997,89.629997,6696100
2022-05-27,91.019997,98.184998,90.629997,98.070000,98.070000,6535300
2022-05-31,98.160004,99.389999,93.639999,95.389999,95.389999,5545000
2022-06-01,96.839996,103.879997,95.529999,97.500000,97.500000,6668900
2022-06-02,97.389999,116.620003,96.199997,110.080002,110.080002,15399700
2022-06-03,106.820000,110.949997,103.779999,105.440002,105.440002,5765000
2022-06-06,108.379997,109.410004,102.379997,103.160004,103.160004,3962100
2022-06-07,101.580002,110.400002,101.169998,108.059998,108.059998,4300800
2022-06-08,106.559998,111.820000,106.559998,107.349998,107.349998,3668800
2022-06-09,107.330002,110.919998,103.000000,103.639999,103.639999,5852300
2022-06-10,100.894997,100.980003,93.809998,96.199997,96.199997,5025900
2022-06-13,90.629997,94.110001,85.739998,86.139999,86.139999,6710100
2022-06-14,87.449997,89.860001,84.699997,87.110001,87.110001,4384000
2022-06-15,86.129997,91.300003,84.000000,89.349998,89.349998,8527500
2022-06-16,85.480003,87.790001,81.120003,81.989998,81.989998,6016300
2022-06-17,82.309998,87.220001,81.919998,85.629997,85.629997,5898600
2022-06-21,88.000000,93.139999,87.150002,90.309998,90.309998,4348000
