Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,53.799999,55.290001,52.120998,54.240002,54.240002,1069300
2022-04-08,53.720001,54.389999,51.810001,52.110001,52.110001,1247200
2022-04-11,51.320000,52.625000,50.250000,51.330002,51.330002,1281100
2022-04-12,52.889999,55.520000,50.715000,51.549999,51.549999,1294800
2022-04-13,51.720001,54.750000,51.000000,54.299999,54.299999,1314900
2022-04-14,54.250000,55.090000,52.389999,52.680000,52.680000,1613400
2022-04-18,52.070000,52.110001,48.090000,48.599998,48.599998,1993200
2022-04-19,48.500000,52.119999,48.299999,50.990002,50.990002,1130000
2022-04-20,51.419998,52.000000,47.410000,47.610001,47.610001,1850700
2022-04-21,48.529999,50.000000,44.580002,45.070000,45.070000,1895100
2022-04-22,45.009998,46.290001,42.700001,42.900002,42.900002,1790900
2022-04-25,42.400002,45.150002,42.180000,44.459999,44.459999,1480700
2022-04-26,44.009998,44.020000,40.880001,41.070000,41.070000,2437100
2022-04-27,41.400002,42.980000,40.500000,41.099998,41.099998,1937900
2022-04-28,42.220001,45.119999,39.400002,44.000000,44.000000,2995000
2022-04-29,43.310001,44.259998,39.330002,39.430000,39.430000,2294800
2022-05-02,39.689999,42.520000,39.384998,42.410000,42.410000,2162300
2022-05-03,41.770000,43.220001,40.540001,41.160000,41.160000,1260100
2022-05-04,41.540001,43.860001,38.000000,43.560001,43.560001,3000700
2022-05-05,38.480000,38.619999,34.250000,35.660000,35.660000,8421000
2022-05-06,35.500000,38.250000,33.160000,35.820000,35.820000,4000900
2022-05-09,34.720001,36.730000,31.680000,32.200001,32.200001,4821600
2022-05-10,33.029999,34.513000,30.430000,32.700001,32.700001,4294000
2022-05-11,31.610001,33.150002,30.670000,30.860001,30.860001,3300100
2022-05-12,30.400000,34.560001,30.049999,33.680000,33.680000,4416900
2022-05-13,34.750000,38.580002,34.669998,37.799999,37.799999,5014200
2022-05-16,37.080002,38.130001,35.360001,36.660000,36.660000,2562300
2022-05-17,38.070000,38.820000,34.660000,37.330002,37.330002,1538500
2022-05-18,36.639999,38.244999,34.700001,36.450001,36.450001,2236300
2022-05-19,37.090000,42.090000,36.994999,40.680000,40.680000,4040900
2022-05-20,41.209999,42.700001,39.730000,42.660000,42.660000,2989300
2022-05-23,42.000000,43.189999,40.650002,41.799999,41.799999,2365500
2022-05-24,41.490002,44.250000,39.650002,43.259998,43.259998,3622800
2022-05-25,42.970001,46.270000,42.799999,45.720001,45.720001,2722000
2022-05-26,43.340000,46.869999,43.087002,45.919998,45.919998,3777700
2022-05-27,46.349998,51.480000,46.174999,50.580002,50.580002,3754500
2022-05-31,50.330002,50.901001,47.500000,48.849998,48.849998,2322500
2022-06-01,49.689999,50.459999,46.220001,47.490002,47.490002,1620800
2022-06-02,48.000000,50.669998,47.070000,49.310001,49.310001,1708500
2022-06-03,48.279999,49.490002,46.790001,47.669998,47.669998,1493800
2022-06-06,49.160000,50.139999,46.630001,47.730000,47.730000,1462600
2022-06-07,46.040001,48.580002,45.820000,48.509998,48.509998,1649600
2022-06-08,47.840000,48.799999,46.430000,47.220001,47.220001,2362500
2022-06-09,47.459999,47.570000,45.080002,45.340000,45.340000,1794600
2022-06-10,43.540001,45.000000,42.230000,42.450001,42.450001,3740100
2022-06-13,40.099998,42.160000,39.959999,40.599998,40.599998,2801600
2022-06-14,40.759998,43.000000,40.230000,42.070000,42.070000,2375100
2022-06-15,42.610001,45.240002,42.610001,43.840000,43.840000,1913600
2022-06-16,41.869999,42.695999,39.340000,39.970001,39.970001,2081300
2022-06-17,39.900002,43.000000,39.900002,41.959999,41.959999,2372200
2022-06-21,42.820000,44.230000,41.900002,41.950001,41.950001,1395900
2022-06-22,40.759998,44.160000,40.700001,42.360001,42.360001,1077100
2022-06-23,43.279999,46.660000,42.590000,46.110001,46.110001,2424500
2022-06-24,46.680000,48.619999,46.610001,47.750000,47.750000,4464600
2022-06-27,47.680000,48.540001,46.176998,46.779999,46.779999,1032200
2022-06-28,47.000000,47.639999,43.349998,43.959999,43.959999,1121300
2022-06-29,43.930000,44.400002,42.459999,43.240002,43.240002,842800
2022-06-30,42.349998,42.650002,38.610001,41.360001,41.360001,1906400
2022-07-01,41.820000,42.599998,40.590000,41.540001,41.540001,890000
2022-07-05,40.509998,45.320000,39.840000,44.849998,44.849998,2100600
2022-07-06,44.930000,46.500000,43.439999,44.119999,44.119999,1298300
2022-07-07,44.320000,45.910000,44.299999,45.529999,45.529999,1271200
2022-07-08,44.599998,47.014999,43.880001,46.299999,46.299999,1386300
2022-07-11,41.360001,41.810001,38.580002,38.759998,38.759998,5591100
2022-07-12,39.200001,39.570000,36.000000,38.459999,38.459999,2679500
2022-07-13,36.919998,40.750000,36.099998,37.110001,37.110001,3285400
2022-07-14,36.590000,36.634998,34.150002,34.500000,34.500000,3360600
2022-07-15,35.340000,35.770000,34.480000,35.240002,35.240002,1436400
2022-07-18,36.009998,37.619999,35.970001,36.709999,36.709999,1524800
2022-07-19,37.970001,38.330002,36.509998,37.779999,37.779999,1428600
2022-07-20,37.919998,42.080002,37.799999,41.950001,41.950001,1918900
2022-07-21,41.230000,43.500000,40.770000,42.810001,42.810001,1315900
2022-07-22,42.220001,42.750000,39.049999,39.160000,39.160000,1263800
2022-07-25,39.180000,39.279999,37.599998,38.900002,38.900002,1170400
2022-07-26,38.590000,38.590000,36.430000,37.230000,37.230000,1115700
2022-07-27,38.700001,39.689999,38.029999,39.290001,39.290001,1299000
2022-07-28,39.040001,39.998001,38.270000,39.810001,39.810001,1158200
2022-07-29,39.950001,41.154999,39.590000,40.980000,40.980000,1234000
2022-08-01,40.799999,42.880001,39.930000,41.869999,41.869999,847200
2022-08-02,41.009998,43.185001,40.884998,42.830002,42.830002,736100
2022-08-03,43.880001,45.980000,43.220001,45.259998,45.259998,1667800
2022-08-04,45.099998,45.439999,42.855000,44.189999,44.189999,1423000
2022-08-05,43.720001,46.910000,43.209999,45.810001,45.810001,2005100
2022-08-08,46.070000,47.990002,46.049999,47.869999,47.869999,2102900
2022-08-09,48.099998,48.830002,46.820000,47.150002,47.150002,3616000
2022-08-10,49.509998,53.880001,49.259998,52.669998,52.669998,2333200
2022-08-11,53.000000,53.240002,47.439999,47.520000,47.520000,2708600
2022-08-12,47.889999,49.180000,47.450001,48.759998,48.759998,1188300
2022-08-15,48.060001,49.070000,47.189999,48.689999,48.689999,870800
2022-08-16,48.330002,48.500000,46.630001,48.150002,48.150002,1028300
