Date,Open,High,Low,Close,Adj Close,Volume
2022-04-08,12.000000,12.190000,11.760000,11.800000,11.800000,2360200
2022-04-11,11.840000,12.030000,11.690000,11.730000,11.730000,2682800
2022-04-12,12.030000,12.140000,11.550000,11.640000,11.640000,2195900
2022-04-13,11.720000,12.070000,11.660000,11.930000,11.930000,1909300
2022-04-14,11.730000,11.810000,11.550000,11.630000,11.630000,1582700
2022-04-18,11.590000,11.700000,11.440000,11.570000,11.570000,1852000
2022-04-19,11.610000,12.170000,11.590000,12.090000,12.090000,2148700
2022-04-20,12.150000,12.190000,11.930000,12.050000,12.050000,2015000
2022-04-21,12.350000,12.490000,11.670000,11.770000,11.770000,2721900
2022-04-22,11.640000,11.880000,11.260000,11.400000,11.400000,2583400
2022-04-25,11.210000,11.590000,11.100000,11.530000,11.530000,2633200
2022-04-26,11.300000,11.320000,10.840000,10.860000,10.860000,3629800
2022-04-27,11.010000,11.060000,10.570000,10.830000,10.830000,3725200
2022-04-28,10.960000,11.700000,10.910000,11.650000,11.650000,2051300
2022-04-29,11.760000,11.850000,11.340000,11.370000,11.370000,3250900
2022-05-02,11.350000,11.400000,10.540000,10.970000,10.970000,2794000
2022-05-03,11.080000,11.580000,11.080000,11.450000,11.450000,2009800
2022-05-04,11.290000,11.810000,11.010000,11.800000,11.800000,1817200
2022-05-05,11.640000,11.720000,11.160000,11.520000,11.520000,1555000
2022-05-06,11.360000,11.640000,10.990000,11.280000,11.280000,2669200
2022-05-09,10.930000,10.990000,10.170000,10.200000,10.200000,3208300
2022-05-10,10.350000,10.440000,9.790000,10.160000,10.160000,2846600
2022-05-11,10.070000,10.560000,9.960000,10.030000,10.030000,1903900
2022-05-12,10.270000,10.770000,10.090000,10.320000,10.320000,2767700
2022-05-13,10.630000,11.140000,10.630000,10.940000,10.940000,2745700
2022-05-16,10.920000,11.070000,10.590000,10.610000,10.610000,1551600
2022-05-17,10.920000,11.260000,10.890000,11.150000,11.150000,1921500
2022-05-18,10.940000,11.120000,10.260000,10.440000,10.440000,2722100
2022-05-19,10.570000,10.770000,10.340000,10.450000,10.450000,2251600
2022-05-20,10.640000,10.690000,10.150000,10.410000,10.410000,1867100
2022-05-23,10.580000,10.740000,10.340000,10.660000,10.660000,1500200
2022-05-24,10.500000,10.500000,9.860000,10.040000,10.040000,2671500
2022-05-25,9.800000,10.130000,9.720000,10.120000,10.120000,3247300
2022-05-26,10.240000,10.750000,10.240000,10.490000,10.490000,2537700
2022-05-27,10.460000,10.800000,10.400000,10.710000,10.710000,2213700
2022-05-31,10.820000,11.010000,10.670000,10.710000,10.710000,4041400
2022-06-01,10.880000,10.940000,10.360000,10.660000,10.660000,2025300
2022-06-02,10.780000,11.480000,10.780000,11.150000,11.150000,4252700
2022-06-03,10.990000,11.030000,10.730000,10.800000,10.800000,3132400
2022-06-06,10.940000,11.070000,10.770000,10.920000,10.920000,1917700
2022-06-07,10.560000,10.790000,10.250000,10.780000,10.780000,2609700
2022-06-08,10.710000,11.000000,10.550000,10.650000,10.650000,3471100
2022-06-09,10.470000,10.530000,10.310000,10.380000,10.380000,2123300
2022-06-10,10.000000,10.100000,9.610000,9.610000,9.610000,4928500
2022-06-13,9.270000,9.420000,8.780000,8.830000,8.830000,3127800
2022-06-14,8.920000,8.960000,8.690000,8.810000,8.810000,2571600
2022-06-15,8.960000,9.430000,8.840000,9.170000,9.170000,5236000
2022-06-16,8.940000,9.050000,8.370000,8.450000,8.450000,2242800
2022-06-17,8.670000,8.980000,8.560000,8.870000,8.870000,3710400
2022-06-21,8.990000,9.280000,8.970000,9.010000,9.010000,4068900
2022-06-22,8.970000,9.240000,8.920000,9.150000,9.150000,1763700
2022-06-23,9.200000,9.410000,9.050000,9.310000,9.310000,1710100
2022-06-24,9.280000,9.600000,9.240000,9.500000,9.500000,2095700
2022-06-27,9.570000,9.580000,9.290000,9.370000,9.370000,1934500
2022-06-28,9.400000,9.620000,9.130000,9.150000,9.150000,2222900
2022-06-29,9.200000,9.200000,8.940000,9.060000,9.060000,2451200
2022-06-30,8.750000,8.870000,8.500000,8.780000,8.780000,3197600
2022-07-01,8.680000,8.980000,8.650000,8.910000,8.910000,1364600
2022-07-05,8.580000,8.590000,8.340000,8.580000,8.580000,4000600
2022-07-06,8.740000,8.820000,8.370000,8.470000,8.470000,1932700
2022-07-07,8.640000,8.910000,8.640000,8.740000,8.740000,1352300
2022-07-08,8.740000,8.820000,8.560000,8.680000,8.680000,1523700
2022-07-11,8.380000,8.390000,8.060000,8.080000,8.080000,2213500
2022-07-12,8.010000,8.380000,8.000000,8.230000,8.230000,2308700
2022-07-13,8.200000,8.430000,8.070000,8.260000,8.260000,1401400
2022-07-14,8.020000,8.240000,7.910000,8.210000,8.210000,1606200
2022-07-15,8.250000,8.360000,8.060000,8.230000,8.230000,1500600
2022-07-18,8.500000,8.640000,8.230000,8.260000,8.260000,1841300
2022-07-19,8.360000,8.990000,8.350000,8.950000,8.950000,2278600
2022-07-20,8.880000,8.990000,8.820000,8.880000,8.880000,2945300
2022-07-21,8.720000,8.840000,8.590000,8.720000,8.720000,1304400
2022-07-22,8.760000,8.780000,8.500000,8.660000,8.660000,1153700
2022-07-25,8.750000,8.860000,8.680000,8.780000,8.780000,1753700
2022-07-26,8.700000,8.740000,8.570000,8.710000,8.710000,1262200
2022-07-27,8.810000,9.130000,8.800000,9.100000,9.100000,1415700
2022-07-28,9.200000,9.270000,8.840000,9.110000,9.110000,1223800
2022-07-29,9.100000,9.160000,8.950000,9.120000,9.120000,2516600
2022-08-01,9.070000,9.480000,8.980000,9.270000,9.270000,1583500
2022-08-02,9.210000,9.320000,9.050000,9.210000,9.210000,1033400
2022-08-03,9.250000,9.570000,9.160000,9.550000,9.550000,1345000
2022-08-04,10.040000,10.360000,9.800000,10.180000,10.180000,2025400
2022-08-05,9.980000,10.380000,9.920000,10.340000,10.340000,1423400
2022-08-08,10.490000,10.890000,10.470000,10.670000,10.670000,2042300
2022-08-09,10.700000,10.800000,10.570000,10.620000,10.620000,1898500
2022-08-10,11.000000,11.440000,10.870000,11.090000,11.090000,2037600
2022-08-11,11.240000,11.300000,11.020000,11.130000,11.130000,1739600
2022-08-12,11.300000,11.700000,11.280000,11.600000,11.600000,3229700
