Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,13.150000,13.290000,12.780000,13.200000,12.387124,6925800
2022-04-08,13.170000,13.450000,12.970000,13.310000,12.490351,6529100
2022-04-11,13.240000,14.170000,13.240000,13.570000,12.734339,7196200
2022-04-12,13.770000,14.150000,13.340000,13.360000,12.537271,7163700
2022-04-13,13.280000,15.360000,13.270000,14.460000,13.569531,34007400
2022-04-14,14.340000,14.530000,14.100000,14.110000,13.241084,5514900
2022-04-18,14.470000,14.900000,14.160000,14.280000,13.400617,8325600
2022-04-19,14.390000,14.870000,14.330000,14.550000,13.653989,6058200
2022-04-20,14.720000,14.740000,14.340000,14.370000,13.485074,4541500
2022-04-21,14.740000,14.830000,14.170000,14.290000,13.410000,6209800
2022-04-22,11.550000,11.880000,11.070000,11.720000,10.998265,39124400
2022-04-25,12.000000,12.440000,11.700000,12.440000,11.673925,18223600
2022-04-26,12.300000,12.570000,12.010000,12.510000,11.739615,10201500
2022-04-27,12.560000,12.830000,12.410000,12.510000,11.739615,10634000
2022-04-28,12.690000,12.990000,12.400000,12.860000,12.068061,8726500
2022-04-29,12.790000,12.980000,12.390000,12.420000,11.655157,5845500
2022-05-02,12.460000,13.020000,12.290000,13.000000,12.199440,7359900
2022-05-03,13.000000,13.330000,12.930000,13.070000,12.265129,7474600
2022-05-04,13.000000,13.530000,12.810000,13.520000,12.687418,6802200
2022-05-05,13.240000,13.310000,12.710000,12.860000,12.068061,6083300
2022-05-06,12.850000,12.940000,12.120000,12.690000,11.908531,7791000
2022-05-09,12.430000,12.980000,12.390000,12.510000,11.739615,11325800
2022-05-10,12.570000,12.730000,11.680000,11.940000,11.204717,7081900
2022-05-11,12.090000,12.200000,11.400000,11.400000,10.697969,6409000
2022-05-12,11.380000,12.260000,11.290000,11.990000,11.251637,6935900
2022-05-13,12.170000,12.550000,12.030000,12.150000,11.401784,6931300
2022-05-16,12.030000,12.540000,11.810000,12.520000,11.749001,6433500
2022-05-17,12.590000,12.920000,12.310000,12.810000,12.021142,6165100
2022-05-18,12.150000,12.190000,11.440000,11.550000,10.838735,8871200
2022-05-19,11.310000,11.510000,11.070000,11.190000,10.500902,9349100
2022-05-20,11.180000,11.290000,10.520000,10.930000,10.256914,9939200
2022-05-23,10.450000,10.650000,10.050000,10.330000,9.693863,12472600
2022-05-24,9.850000,10.040000,9.240000,9.470000,8.886824,16299400
2022-05-25,9.410000,10.700000,9.370000,10.650000,9.994157,15423400
2022-05-26,10.840000,11.530000,10.840000,11.120000,10.435213,26948600
2022-05-27,9.820000,12.030000,9.510000,11.600000,10.885655,51431700
2022-05-31,11.280000,11.320000,10.780000,11.030000,10.350756,18162400
2022-06-01,11.050000,11.220000,10.490000,10.850000,10.181842,11170600
2022-06-02,10.930000,11.130000,10.650000,10.900000,10.228762,9929500
2022-06-03,10.860000,11.100000,10.800000,10.840000,10.172456,12917000
2022-06-06,10.950000,10.960000,10.490000,10.690000,10.031693,10275400
2022-06-07,10.530000,10.900000,10.260000,10.570000,9.919084,11629300
2022-06-08,10.610000,10.880000,10.440000,10.610000,9.956620,10124400
2022-06-09,10.640000,10.750000,10.110000,10.120000,9.496796,9240600
2022-06-10,10.000000,10.000000,9.390000,9.470000,8.886824,9704500
2022-06-13,9.140000,9.370000,8.750000,9.030000,8.473919,13325400
2022-06-14,9.010000,9.250000,8.970000,9.120000,8.558377,9238100
2022-06-15,9.270000,9.440000,9.110000,9.170000,8.605299,11325900
2022-06-16,8.900000,9.070000,8.740000,8.890000,8.342542,11817100
2022-06-17,8.930000,9.270000,8.810000,9.130000,8.567760,9197500
2022-06-21,9.240000,9.350000,8.810000,8.820000,8.276851,9444200
2022-06-22,8.700000,8.910000,8.560000,8.710000,8.173625,9511000
2022-06-23,8.710000,8.860000,8.410000,8.690000,8.154856,8231700
2022-06-24,8.770000,9.520000,8.730000,9.460000,8.877439,10126300
2022-06-27,9.550000,9.650000,9.140000,9.280000,8.708523,7517400
2022-06-28,9.420000,9.610000,8.960000,8.970000,8.417613,7416600
2022-06-29,8.940000,8.950000,8.570000,8.770000,8.229931,8084900
2022-06-30,8.550000,8.550000,8.180000,8.240000,7.732568,10534800
2022-07-01,8.200000,8.530000,8.170000,8.490000,7.967174,9630400
2022-07-05,8.200000,8.760000,8.160000,8.720000,8.330185,8635600
2022-07-06,8.660000,8.800000,8.440000,8.570000,8.186890,6504000
2022-07-07,8.670000,8.930000,8.590000,8.870000,8.473480,7024600
2022-07-08,8.880000,9.040000,8.720000,8.900000,8.502138,4495200
2022-07-11,8.810000,8.920000,8.520000,8.760000,8.368397,7108300
2022-07-12,8.190000,8.550000,8.000000,8.320000,7.948067,20108100
2022-07-13,8.100000,8.320000,7.790000,8.300000,7.928962,14896800
2022-07-14,8.200000,8.420000,8.150000,8.230000,7.862089,7889700
2022-07-15,8.300000,8.420000,8.220000,8.330000,7.957621,6315400
2022-07-18,8.460000,9.110000,8.450000,8.860000,8.463927,10872300
2022-07-19,9.140000,9.500000,9.130000,9.350000,8.932023,7977900
2022-07-20,9.410000,9.550000,9.160000,9.490000,9.065764,7224400
2022-07-21,9.410000,9.480000,9.150000,9.370000,8.951128,5868100
2022-07-22,9.430000,9.670000,9.190000,9.420000,8.998894,5121600
2022-07-25,9.460000,9.460000,9.050000,9.210000,8.798281,6318000
2022-07-26,8.590000,8.900000,8.540000,8.710000,8.320633,8053500
2022-07-27,8.840000,8.960000,8.540000,8.880000,8.483033,5661800
2022-07-28,8.960000,9.560000,8.880000,9.560000,9.132634,9781200
2022-07-29,9.560000,9.680000,9.310000,9.620000,9.189952,9927500
2022-08-01,9.530000,9.870000,9.360000,9.700000,9.266376,7099900
2022-08-02,9.580000,9.770000,9.470000,9.510000,9.084871,5027600
2022-08-03,9.710000,9.860000,9.590000,9.780000,9.342799,4113200
2022-08-04,9.790000,9.940000,9.710000,9.750000,9.314140,4170400
2022-08-05,9.610000,9.850000,9.580000,9.740000,9.304587,3978900
2022-08-08,9.870000,10.600000,9.870000,10.270000,9.810896,6576600
2022-08-09,10.120000,10.120000,9.530000,9.650000,9.218611,5263900
2022-08-10,9.990000,10.200000,9.780000,9.840000,9.400118,5973200
2022-08-11,10.030000,10.520000,10.030000,10.380000,9.915977,11325300
2022-08-12,10.560000,10.690000,10.290000,10.640000,10.164355,5345700
2022-08-15,10.580000,11.070000,10.540000,10.700000,10.221672,10779500
2022-08-16,10.720000,11.890000,10.700000,11.480000,10.966804,9278200
2022-08-17,11.310000,11.490000,10.910000,11.060000,10.565579,9636200
2022-08-18,10.980000,11.000000,10.560000,10.870000,10.384072,7638700
2022-08-19,10.810000,10.850000,10.010000,10.100000,9.648495,8052000
2022-08-22,9.780000,10.060000,9.660000,10.050000,9.600730,9805100
2022-08-23,10.220000,10.500000,10.050000,10.100000,9.648495,7213800
2022-08-24,9.990000,10.030000,9.720000,9.910000,9.466988,6859600
2022-08-25,9.620000,10.390000,9.580000,10.010000,9.562518,13897000
2022-08-26,10.480000,10.500000,9.820000,9.820000,9.381011,13407900
2022-08-29,9.730000,9.800000,9.410000,9.480000,9.056211,8565700
2022-08-30,9.810000,10.040000,9.560000,9.670000,9.237718,8633400
2022-08-31,9.620000,9.620000,9.100000,9.140000,8.731411,8060400
2022-09-01,8.990000,9.280000,8.790000,9.240000,8.826940,9446100
2022-09-02,9.340000,9.430000,9.110000,9.270000,8.855599,6777300
2022-09-06,9.430000,9.520000,9.110000,9.130000,8.721857,6328100
2022-09-07,9.090000,9.730000,9.070000,9.610000,9.180399,6254400
2022-09-08,9.280000,9.660000,8.920000,9.640000,9.209059,6354700
2022-09-09,9.710000,10.090000,9.710000,9.930000,9.486094,6799100
2022-09-12,10.080000,10.320000,9.870000,9.960000,9.514753,8803500
2022-09-13,9.550000,9.860000,9.320000,9.340000,8.922470,6087700
2022-09-14,9.400000,9.450000,9.150000,9.340000,8.922470,5119300
2022-09-15,8.990000,9.520000,8.920000,9.000000,8.597669,12912700
2022-09-16,8.860000,9.260000,8.800000,9.120000,8.712304,7910700
2022-09-19,9.060000,9.550000,9.060000,9.520000,9.094423,6021400
2022-09-20,9.400000,9.520000,9.070000,9.210000,8.798281,8513900
2022-09-21,9.300000,9.550000,9.120000,9.120000,8.712304,4953500
2022-09-22,9.180000,9.210000,8.850000,8.860000,8.463927,5442100
2022-09-23,8.670000,8.870000,8.230000,8.470000,8.091361,7395700
2022-09-26,8.460000,8.680000,8.380000,8.390000,8.014939,6085200
2022-09-27,8.530000,8.650000,8.300000,8.440000,8.062702,5328200
2022-09-28,8.470000,8.790000,8.440000,8.740000,8.349291,5495000
2022-09-29,8.580000,8.600000,8.250000,8.390000,8.014939,5637100
2022-09-30,8.220000,8.480000,7.850000,8.210000,7.842984,6536000
2022-10-03,8.380000,8.710000,8.210000,8.610000,8.225102,7805400
2022-10-04,8.750000,9.260000,8.670000,9.240000,8.983445,8371300
2022-10-05,9.020000,9.780000,8.910000,9.720000,9.450118,10767700
2022-10-06,9.600000,9.880000,9.540000,9.800000,9.527898,7461100
2022-10-07,9.610000,9.900000,9.600000,9.720000,9.450118,7881400
2022-10-10,9.780000,9.910000,9.340000,9.640000,9.372340,6650200
2022-10-11,9.690000,10.100000,9.390000,9.800000,9.527898,7172900
2022-10-12,9.860000,9.890000,9.360000,9.530000,9.265393,7728000
2022-10-13,9.320000,9.980000,9.160000,9.840000,9.566787,7709500
2022-10-14,10.010000,10.170000,9.730000,9.880000,9.605676,6781700
2022-10-17,10.140000,10.270000,9.840000,10.020000,9.741789,6825800
2022-10-18,10.270000,10.490000,9.960000,10.170000,9.887624,11246200
2022-10-19,10.100000,10.240000,9.610000,9.920000,9.644565,7769000
2022-10-20,9.950000,10.260000,9.670000,9.720000,9.450118,6866100
2022-10-21,9.720000,10.290000,9.650000,10.270000,9.984847,7326900
2022-10-24,10.270000,10.580000,10.070000,10.560000,10.266795,5892800
2022-10-25,10.540000,10.850000,10.440000,10.710000,10.412630,8701300
2022-10-26,10.620000,11.050000,10.570000,10.830000,10.529299,9710000
2022-10-27,10.950000,11.250000,10.810000,11.010000,10.704301,11378300
2022-10-28,10.990000,11.280000,10.750000,11.250000,10.937636,7043600
2022-10-31,11.210000,11.470000,11.180000,11.270000,10.957082,9095000
2022-11-01,11.480000,11.640000,11.320000,11.470000,11.151528,7915000
2022-11-02,11.410000,11.420000,10.810000,10.820000,10.519576,8226500
2022-11-03,10.700000,10.920000,10.470000,10.800000,10.500132,8469500
2022-11-04,11.040000,11.300000,10.760000,10.980000,10.675133,7381900
2022-11-07,11.020000,11.170000,10.750000,11.160000,10.850136,6866300
2022-11-08,11.330000,11.600000,11.090000,11.460000,11.141807,6649900
2022-11-09,11.340000,11.350000,10.570000,10.620000,10.325130,7868700
2022-11-10,11.160000,11.810000,11.140000,11.530000,11.209863,14632100
2022-11-11,11.560000,12.500000,11.530000,12.280000,11.939038,12337300
2022-11-14,12.090000,12.480000,11.790000,12.330000,11.987650,13318200
2022-11-15,12.680000,13.060000,12.580000,12.840000,12.483489,14642400
2022-11-16,12.240000,12.270000,11.550000,12.040000,11.705702,8649600
2022-11-17,11.860000,12.740000,11.820000,12.710000,12.357099,15521500
2022-11-18,13.830000,14.050000,12.850000,13.670000,13.290444,24625700
2022-11-21,13.630000,14.280000,13.480000,14.250000,13.854341,15546000
2022-11-22,14.550000,15.110000,14.360000,14.670000,14.262678,13292100
2022-11-23,14.620000,14.850000,14.490000,14.740000,14.330734,8514200
2022-11-25,14.770000,15.040000,14.730000,14.840000,14.427958,4451700
2022-11-28,14.660000,14.830000,14.280000,14.350000,13.951564,9547800
2022-11-29,14.430000,14.750000,14.330000,14.600000,14.194622,5673600
2022-11-30,14.610000,14.630000,14.080000,14.540000,14.136288,8970900
2022-12-01,14.380000,14.660000,14.080000,14.410000,14.009897,6287200
2022-12-02,14.260000,14.910000,14.160000,14.850000,14.437680,6025000
2022-12-05,14.700000,15.180000,14.530000,15.150000,14.729350,9723500
2022-12-06,15.170000,15.210000,14.330000,14.590000,14.184900,7470800
2022-12-07,14.550000,14.810000,14.370000,14.410000,14.009897,5867100
2022-12-08,14.510000,14.820000,14.340000,14.580000,14.175177,5141300
2022-12-09,14.370000,14.450000,13.840000,13.900000,13.514057,6698200
2022-12-12,14.220000,14.320000,13.750000,13.970000,13.582114,9883400
2022-12-13,14.500000,14.640000,13.780000,13.910000,13.523781,7207600
2022-12-14,13.850000,14.100000,13.590000,13.890000,13.504335,6117400
2022-12-15,13.580000,13.580000,13.020000,13.100000,12.736271,8345600
2022-12-16,12.930000,13.190000,12.820000,12.950000,12.590435,7674400
2022-12-19,12.990000,13.050000,12.410000,12.510000,12.162652,6174800
2022-12-20,12.510000,12.520000,12.120000,12.170000,11.832092,8251000
2022-12-21,12.400000,12.550000,11.900000,11.940000,11.608479,7834600
2022-12-22,11.710000,11.800000,11.540000,11.770000,11.443199,6444600
2022-12-23,11.670000,12.080000,11.570000,12.060000,11.725147,7083600
2022-12-27,12.060000,12.120000,11.480000,11.490000,11.170973,7421700
2022-12-28,11.460000,11.580000,11.190000,11.290000,10.976526,6783300
2022-12-29,11.330000,11.530000,11.330000,11.400000,11.083472,6877000
2022-12-30,11.260000,11.400000,11.150000,11.280000,10.966804,5366600
2023-01-03,11.260000,11.380000,10.820000,11.330000,11.163871,8168100
2023-01-04,11.470000,11.870000,11.310000,11.780000,11.607273,9550300
2023-01-05,11.100000,11.660000,11.010000,11.410000,11.242698,8410700
2023-01-06,11.480000,11.830000,11.410000,11.780000,11.607273,5597200
2023-01-09,11.700000,12.190000,11.610000,12.030000,11.853607,9078300
2023-01-10,12.060000,12.200000,11.790000,12.190000,12.011261,5624800
2023-01-11,12.260000,12.570000,12.150000,12.500000,12.316715,4913000
2023-01-12,12.570000,12.880000,12.440000,12.790000,12.602464,7554300
2023-01-13,12.650000,13.040000,12.570000,12.910000,12.720704,6007700
2023-01-17,12.800000,12.920000,12.550000,12.830000,12.641877,6387300
2023-01-18,13.050000,13.390000,12.960000,12.990000,12.799531,6524600
2023-01-19,12.890000,12.910000,12.380000,12.740000,12.553197,7254900
2023-01-20,12.710000,13.310000,12.600000,13.230000,13.036012,7400600
