Date,Open,High,Low,Close,Adj Close,Volume
2022-04-08,9.336363,9.372727,9.254545,9.336363,8.836285,11475860
2022-04-11,9.354545,9.354545,9.236363,9.254545,8.758849,12804880
2022-04-12,9.345454,9.354545,9.145454,9.163636,8.672810,21912880
2022-04-13,9.200000,9.263636,9.100000,9.172727,8.681414,23261370
2022-04-14,9.145454,9.200000,9.100000,9.181818,8.690018,16925810
2022-04-18,9.163636,9.245454,9.127272,9.236363,8.741641,14465990
2022-04-19,9.181818,9.254545,9.027272,9.136363,8.646996,21219440
2022-04-20,9.127272,9.163636,9.063636,9.145454,8.655602,19727950
2022-04-22,9.054545,9.100000,8.936363,9.009090,8.526541,23301740
2022-04-25,8.954545,9.018181,8.845454,8.981818,8.500730,24578070
2022-04-26,8.936363,8.954545,8.527272,8.600000,8.139363,46646930
2022-04-27,8.654545,8.727272,8.463636,8.545454,8.087738,29498590
2022-04-28,8.554545,8.563636,8.409090,8.500000,8.044718,33488510
2022-04-29,8.554545,8.681818,8.363636,8.372727,7.924263,36729550
2022-05-02,8.372727,8.427272,8.181818,8.318181,7.872640,44467170
2022-05-03,8.309090,8.381818,8.245454,8.300000,7.855431,22443300
2022-05-04,8.245454,8.300000,8.072727,8.272727,7.829619,69667840
2022-05-05,8.218181,8.218181,8.009090,8.063636,7.631729,37721750
2022-05-06,8.081818,8.227272,8.054545,8.090909,7.657539,38875870
2022-05-09,8.072727,8.127272,7.936363,7.981818,7.554292,33178750
2022-05-10,8.036363,8.100000,7.909090,7.927272,7.502667,25573240
2022-05-11,7.954545,8.118181,7.936363,8.100000,7.666145,45552980
2022-05-12,8.063636,8.263636,8.054545,8.236363,7.795204,41930130
2022-05-13,8.281818,8.354545,8.263636,8.309090,7.864035,20477160
2022-05-16,8.381818,8.436363,8.290909,8.400000,7.950075,24558160
2022-05-17,8.554545,8.627272,8.472727,8.472727,8.018906,30869300
2022-05-18,8.500000,8.554545,8.336363,8.345454,7.898451,26108500
2022-05-19,8.345454,8.445454,8.318181,8.409090,7.958679,15917330
2022-05-20,8.481818,8.554545,8.436363,8.518181,8.061925,24317810
2022-05-23,8.572727,8.681818,8.536363,8.627272,8.165174,22076120
2022-05-24,8.609090,8.709090,8.518181,8.709090,8.242610,25189120
2022-05-25,8.681818,8.736363,8.545454,8.563636,8.104946,21074900
2022-05-26,8.572727,8.654545,8.536363,8.600000,8.139363,40869510
2022-05-27,8.627272,8.672727,8.554545,8.600000,8.139363,19247360
2022-05-30,8.600000,8.663636,8.554545,8.581818,8.122154,16036460
2022-05-31,8.636363,8.763636,8.600000,8.718181,8.251212,44058190
2022-06-01,8.709090,8.727272,8.600000,8.627272,8.185256,18405310
2022-06-02,8.663636,8.736363,8.563636,8.663636,8.219757,20600140
2022-06-03,8.618181,8.663636,8.518181,8.536363,8.099006,13714030
2022-06-06,8.572727,8.609090,8.490909,8.572727,8.133505,11465410
2022-06-07,8.518181,8.581818,8.454545,8.481818,8.047254,14063390
2022-06-08,8.445454,8.500000,8.318181,8.363636,7.935128,12102750
2022-06-09,8.400000,8.445454,8.245454,8.245454,7.823001,38798100
2022-06-10,8.190909,8.227272,8.045454,8.081818,7.667748,24277550
2022-06-13,8.027272,8.045454,7.900000,7.954545,7.546997,23945460
2022-06-14,7.972727,8.036363,7.863636,7.927272,7.521120,16343800
2022-06-15,8.000000,8.072727,7.945454,7.990909,7.581498,31517310
2022-06-17,7.918181,8.072727,7.790909,7.845454,7.443495,39054510
2022-06-20,7.872727,8.190909,7.845454,8.090909,7.676373,22947430
2022-06-21,8.154545,8.181818,7.963636,8.018181,7.607372,18981050
2022-06-22,7.990909,8.081818,7.945454,8.054545,7.641873,22146630
2022-06-23,8.054545,8.081818,7.881818,7.881818,7.477995,19540950
2022-06-24,7.927272,7.972727,7.845454,7.845454,7.443495,12193940
2022-06-27,7.890909,7.963636,7.863636,7.945454,7.538372,15398900
2022-06-28,7.990909,8.027272,7.790909,7.845454,7.443495,15407810
2022-06-29,7.900000,7.936363,7.754545,7.763636,7.365869,18610790
2022-06-30,7.727272,7.736363,7.554545,7.581818,7.193366,38404740
2022-07-01,7.536363,7.581818,7.454545,7.563636,7.176115,27206630
2022-07-04,7.563636,7.572727,7.454545,7.500000,7.115740,11934120
2022-07-05,7.454545,7.536363,7.390909,7.509090,7.124364,17082670
2022-07-06,7.518181,7.581818,7.418181,7.500000,7.115740,18724750
2022-07-07,7.536363,7.663636,7.527272,7.581818,7.193366,26318270
2022-07-08,7.636363,7.700000,7.572727,7.627272,7.236491,13993430
2022-07-11,7.563636,7.581818,7.409090,7.472727,7.089864,17548850
2022-07-12,7.472727,7.527272,7.390909,7.454545,7.072613,14012350
2022-07-13,7.427272,7.509090,7.363636,7.381818,7.003613,21581670
2022-07-14,7.336363,7.427272,7.236363,7.363636,6.986362,27718020
2022-07-15,7.372727,7.627272,7.318181,7.590909,7.201991,31258150
2022-07-18,7.536363,7.763636,7.527272,7.663636,7.270992,27060660
2022-07-19,7.709090,7.854545,7.654545,7.809090,7.408994,21332850
2022-07-20,7.800000,7.809090,7.672727,7.690909,7.296867,18108420
2022-07-21,7.700000,7.800000,7.618181,7.781818,7.383119,15523750
