Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,5.580000,5.600000,5.490000,5.580000,5.304627,42535300
2022-04-08,5.560000,5.630000,5.500000,5.580000,5.304627,40307300
2022-04-11,5.600000,5.630000,5.560000,5.630000,5.352160,43838900
2022-04-12,5.700000,5.700000,5.500000,5.510000,5.238082,44603800
2022-04-13,5.510000,5.580000,5.480000,5.560000,5.285614,36637000
2022-04-14,5.520000,5.570000,5.480000,5.540000,5.266602,32209500
2022-04-18,5.580000,5.660000,5.570000,5.610000,5.333147,33858600
2022-04-19,5.610000,5.650000,5.460000,5.530000,5.257096,45855200
2022-04-20,5.520000,5.630000,5.510000,5.600000,5.323641,34537700
2022-04-21,5.600000,5.620000,5.410000,5.420000,5.152524,27113800
2022-04-22,5.440000,5.450000,5.240000,5.270000,5.009926,43838400
2022-04-25,5.190000,5.220000,5.040000,5.180000,4.924367,54669200
2022-04-26,5.040000,5.050000,4.900000,4.910000,4.667693,47871700
2022-04-27,4.890000,4.940000,4.830000,4.880000,4.639174,42114500
2022-04-28,4.830000,4.900000,4.740000,4.880000,4.639174,49055400
2022-04-29,5.030000,5.040000,4.770000,4.790000,4.553614,41654500
2022-05-02,4.720000,4.750000,4.570000,4.640000,4.414703,57671800
2022-05-03,4.730000,4.800000,4.690000,4.760000,4.528878,47409900
2022-05-04,4.640000,4.790000,4.610000,4.780000,4.547906,81307100
2022-05-05,4.630000,4.640000,4.500000,4.600000,4.376645,62430500
2022-05-06,4.600000,4.760000,4.530000,4.650000,4.424217,81349300
2022-05-09,4.560000,4.590000,4.420000,4.470000,4.252957,85016700
2022-05-10,4.500000,4.550000,4.450000,4.510000,4.291016,64906500
2022-05-11,4.570000,4.680000,4.550000,4.620000,4.395674,62214400
2022-05-12,4.660000,4.780000,4.600000,4.730000,4.500333,70758100
2022-05-13,4.740000,4.880000,4.720000,4.850000,4.614506,49865300
2022-05-16,4.850000,4.960000,4.830000,4.930000,4.690621,45100400
2022-05-17,5.030000,5.110000,5.010000,5.040000,4.795282,42963700
2022-05-18,5.000000,5.050000,4.930000,4.950000,4.709651,55385000
2022-05-19,5.010000,5.070000,4.950000,5.010000,4.766737,48550300
2022-05-20,5.070000,5.110000,5.040000,5.090000,4.842853,47347000
2022-05-23,5.240000,5.360000,5.240000,5.300000,5.042656,42155000
2022-05-24,5.350000,5.420000,5.240000,5.390000,5.128287,60007900
