Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,108.660004,113.949997,108.230003,112.360001,112.360001,3324700
2022-04-08,110.419998,113.290001,108.730003,109.769997,109.769997,2379600
2022-04-11,107.269997,111.339996,104.125000,109.639999,109.639999,3061100
2022-04-12,112.580002,119.970001,112.480003,113.919998,113.919998,4845200
2022-04-13,113.540001,121.910004,112.809998,121.629997,121.629997,4066100
2022-04-14,120.580002,122.519997,113.550003,113.980003,113.980003,3608100
2022-04-18,112.559998,113.552002,105.041000,108.150002,108.150002,3103000
2022-04-19,107.500000,112.419998,104.550003,111.150002,111.150002,2475000
2022-04-20,111.320000,111.690002,101.379997,103.699997,103.699997,4164000
2022-04-21,105.139999,108.879997,97.040001,98.489998,98.489998,3543700
2022-04-22,98.540001,102.830002,95.029999,95.220001,95.220001,3141100
2022-04-25,94.559998,99.495003,93.269997,98.709999,98.709999,3905500
2022-04-26,98.160004,98.730003,90.519997,90.739998,90.739998,3421300
2022-04-27,92.120003,94.860001,89.800003,90.589996,90.589996,2818300
2022-04-28,92.510002,97.040001,88.440002,95.250000,95.250000,3358100
2022-04-29,94.169998,97.820000,85.870003,86.139999,86.139999,3719200
2022-05-02,85.970001,90.059998,84.809998,89.910004,89.910004,3921000
2022-05-03,89.730003,93.650002,87.690002,89.680000,89.680000,3274800
2022-05-04,89.830002,90.760002,80.919998,90.400002,90.400002,7154800
2022-05-05,88.199997,88.199997,75.800003,77.809998,77.809998,10345800
2022-05-06,65.410004,70.148003,60.900002,65.610001,65.610001,16745500
2022-05-09,63.169998,64.419998,56.000000,56.560001,56.560001,9819300
2022-05-10,59.290001,60.869999,51.000000,56.980000,56.980000,11022100
2022-05-11,56.540001,60.900002,54.630001,54.810001,54.810001,9128600
2022-05-12,53.080002,63.099998,51.500000,56.730000,56.730000,8963300
2022-05-13,59.119999,67.597000,58.900002,66.379997,66.379997,8849600
2022-05-16,64.199997,64.949997,57.000000,57.360001,57.360001,7653500
2022-05-17,59.970001,61.290001,53.805000,56.270000,56.270000,9526000
2022-05-18,55.240002,56.410000,51.709999,53.360001,53.360001,7775200
2022-05-19,54.040001,59.349998,53.700001,58.000000,58.000000,7454400
2022-05-20,59.560001,61.400002,53.250000,55.689999,55.689999,6157400
2022-05-23,54.590000,58.160000,54.270000,56.750000,56.750000,4371200
2022-05-24,55.259998,55.259998,50.029999,50.500000,50.500000,7053200
2022-05-25,51.160000,52.849998,50.110001,51.959999,51.959999,6885100
2022-05-26,50.410000,56.570000,50.150002,56.049999,56.049999,5424200
2022-05-27,57.770000,59.570000,56.084000,58.910000,58.910000,5012600
2022-05-31,59.860001,59.860001,55.180000,56.000000,56.000000,6052700
2022-06-01,57.090000,59.139999,53.980000,55.110001,55.110001,4100400
2022-06-02,54.849998,59.880001,54.320000,57.900002,57.900002,7829900
2022-06-03,56.459999,57.799999,53.900002,54.540001,54.540001,4994200
2022-06-06,55.419998,56.689999,53.439999,53.910000,53.910000,4036500
2022-06-07,53.430000,54.950001,51.750000,54.730000,54.730000,4595100
2022-06-08,55.279999,57.410000,54.580002,55.060001,55.060001,3130100
2022-06-09,55.040001,55.040001,51.570000,51.599998,51.599998,4656600
2022-06-10,49.200001,49.490002,45.779999,47.360001,47.360001,7424600
2022-06-13,43.990002,45.730000,41.279999,41.590000,41.590000,9087600
2022-06-14,41.740002,42.570000,39.639999,40.790001,40.790001,7177500
2022-06-15,41.450001,44.570000,40.980000,43.560001,43.560001,6258300
2022-06-16,41.490002,41.630001,38.959999,39.700001,39.700001,6906800
2022-06-17,40.130001,42.240002,40.099998,41.209999,41.209999,12260300
2022-06-21,41.849998,44.700001,41.849998,43.619999,43.619999,5482300
2022-06-22,42.950001,45.450001,42.599998,44.340000,44.340000,3957100
2022-06-23,45.220001,48.450001,43.779999,48.200001,48.200001,5063400
2022-06-24,49.369999,51.849998,48.849998,51.840000,51.840000,5855000
2022-06-27,51.509998,52.470001,48.740002,49.250000,49.250000,4643200
2022-06-28,48.799999,49.849998,44.799999,45.439999,45.439999,5039000
2022-06-29,45.650002,46.680000,44.209999,45.869999,45.869999,3750200
2022-06-30,45.250000,45.389999,41.900002,43.750000,43.750000,5141800
2022-07-01,44.660000,45.980000,43.220001,45.900002,45.900002,4343500
2022-07-05,44.730000,50.580002,43.820000,50.500000,50.500000,5669300
2022-07-06,50.459999,52.250000,49.410000,50.349998,50.349998,5802400
2022-07-07,49.959999,53.590000,49.910000,52.740002,52.740002,4250800
2022-07-08,51.270000,54.150002,49.900002,52.080002,52.080002,4546900
2022-07-11,51.939999,52.290001,48.840000,50.689999,50.689999,4013900
2022-07-12,51.020000,53.560001,47.020000,47.369999,47.369999,5273100
2022-07-13,45.459999,48.840000,44.290001,46.779999,46.779999,4811500
2022-07-14,46.110001,46.330002,43.669998,44.610001,44.610001,5479700
2022-07-15,45.660000,46.689999,44.250000,46.599998,46.599998,4887300
2022-07-18,47.919998,50.290001,47.349998,48.830002,48.830002,5209400
2022-07-19,50.202000,50.320000,46.869999,49.540001,49.540001,4553700
2022-07-20,50.439999,55.930000,50.400002,53.000000,53.000000,8266500
2022-07-21,53.180000,55.880001,52.529999,55.820000,55.820000,3857300
2022-07-22,55.180000,56.299000,51.490002,51.650002,51.650002,3778600
2022-07-25,51.250000,51.445000,49.130001,49.790001,49.790001,2548500
2022-07-26,48.549999,48.709999,45.247002,45.680000,45.680000,5106700
2022-07-27,47.470001,49.090000,46.250000,48.680000,48.680000,4825100
2022-07-28,48.160000,49.410000,46.259998,48.650002,48.650002,3632700
2022-07-29,48.759998,50.439999,47.919998,50.320000,50.320000,4169300
2022-08-01,49.610001,53.389999,48.529999,51.160000,51.160000,5467300
2022-08-02,50.000000,54.040001,49.733002,53.080002,53.080002,4415800
2022-08-03,54.110001,58.724998,54.110001,58.360001,58.360001,5303600
2022-08-04,57.419998,58.970001,55.639999,58.430000,58.430000,6855700
2022-08-05,68.580002,74.559998,66.000000,74.239998,74.239998,22629700
2022-08-08,74.425003,77.150002,73.330002,73.680000,73.680000,8700200
2022-08-09,72.680000,73.699997,70.029999,71.629997,71.629997,4664600
2022-08-10,75.625000,78.730003,74.099998,78.610001,78.610001,5762700
2022-08-11,79.940002,80.989998,74.010002,74.949997,74.949997,4766500
2022-08-12,76.500000,77.699997,74.300003,77.629997,77.629997,3493500
2022-08-15,77.000000,80.319000,76.790001,78.080002,78.080002,3729500
2022-08-16,76.669998,78.769997,72.760002,77.800003,77.800003,6021300
2022-08-17,75.449997,76.739998,74.070000,74.510002,74.510002,2823200
2022-08-18,74.699997,74.699997,72.820000,73.040001,73.040001,2581300
2022-08-19,71.000000,71.779999,67.320000,68.529999,68.529999,4890500
2022-08-22,66.279999,67.550003,64.540001,65.779999,65.779999,3338100
2022-08-23,66.099998,68.339996,65.239998,65.260002,65.260002,2673600
2022-08-24,65.754997,67.644997,65.410004,66.150002,66.150002,2867600
2022-08-25,68.000000,68.989998,66.930000,68.239998,68.239998,2679500
2022-08-26,68.029999,68.250000,64.250000,64.389999,64.389999,3310000
2022-08-29,62.590000,65.150002,62.220001,64.230003,64.230003,2634400
