Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,3.370000,3.380000,3.290000,3.350000,3.216838,4998500
2022-04-08,3.350000,3.390000,3.350000,3.370000,3.236043,3170600
2022-04-11,3.400000,3.430000,3.370000,3.380000,3.245645,6399600
2022-04-12,3.380000,3.400000,3.320000,3.350000,3.216838,4544400
2022-04-13,3.340000,3.400000,3.340000,3.390000,3.255248,3112100
2022-04-14,3.390000,3.410000,3.350000,3.390000,3.255248,4206300
2022-04-18,3.370000,3.430000,3.370000,3.400000,3.264850,2909100
2022-04-19,3.380000,3.440000,3.370000,3.430000,3.293658,4691400
2022-04-20,3.500000,3.520000,3.440000,3.460000,3.322465,5288100
2022-04-21,3.500000,3.520000,3.420000,3.420000,3.284055,4071800
2022-04-22,3.450000,3.460000,3.360000,3.370000,3.236043,6423200
2022-04-25,3.350000,3.350000,3.220000,3.330000,3.197633,10913700
2022-04-26,3.050000,3.060000,2.990000,3.030000,2.909558,12080100
2022-04-27,2.950000,3.010000,2.950000,2.960000,2.842340,7161500
2022-04-28,2.930000,2.930000,2.850000,2.910000,2.849194,6975700
2022-04-29,2.950000,2.970000,2.880000,2.880000,2.819821,6397800
2022-05-02,2.900000,2.900000,2.830000,2.870000,2.810030,6318500
2022-05-03,2.950000,2.990000,2.940000,2.960000,2.898149,6313500
2022-05-04,2.930000,3.030000,2.900000,3.030000,2.966686,5746700
2022-05-05,2.890000,2.910000,2.800000,2.820000,2.761075,9067000
2022-05-06,2.830000,2.840000,2.770000,2.790000,2.731701,9861900
2022-05-09,2.780000,2.790000,2.740000,2.750000,2.692537,10649800
2022-05-10,2.820000,2.830000,2.730000,2.770000,2.712119,10377900
2022-05-11,2.800000,2.850000,2.730000,2.750000,2.692537,6471300
2022-05-12,2.730000,2.770000,2.680000,2.720000,2.663164,8012300
2022-05-13,2.800000,2.860000,2.790000,2.840000,2.780657,5897700
2022-05-16,2.810000,2.830000,2.780000,2.830000,2.770865,4836400
2022-05-17,2.920000,2.940000,2.890000,2.930000,2.868776,5436400
2022-05-18,2.890000,2.910000,2.820000,2.840000,2.780657,4777900
2022-05-19,2.840000,2.900000,2.830000,2.890000,2.829612,6220400
2022-05-20,2.890000,2.910000,2.820000,2.860000,2.800239,4552900
2022-05-23,2.960000,3.030000,2.960000,3.020000,2.956895,6979900
2022-05-24,3.060000,3.120000,3.050000,3.110000,3.045015,8983700
2022-05-25,3.090000,3.150000,3.090000,3.140000,3.074388,4242300
2022-05-26,3.160000,3.210000,3.160000,3.170000,3.103761,5664300
2022-05-27,3.210000,3.240000,3.200000,3.230000,3.162508,3533500
2022-05-31,3.220000,3.230000,3.180000,3.210000,3.142925,5582600
2022-06-01,3.210000,3.220000,3.130000,3.160000,3.093970,5133700
2022-06-02,3.160000,3.200000,3.140000,3.200000,3.133134,4061300
2022-06-03,3.170000,3.180000,3.130000,3.160000,3.093970,3587600
2022-06-06,3.230000,3.240000,3.180000,3.210000,3.142925,4828800
2022-06-07,3.170000,3.210000,3.170000,3.210000,3.142925,3010600
2022-06-08,3.180000,3.200000,3.130000,3.150000,3.084179,4355600
2022-06-09,3.100000,3.110000,3.010000,3.010000,2.947104,4556500
2022-06-10,2.870000,2.890000,2.810000,2.830000,2.770865,6824800
2022-06-13,2.700000,2.750000,2.680000,2.720000,2.663164,9060000
2022-06-14,2.740000,2.750000,2.660000,2.700000,2.643582,8293500
2022-06-15,2.800000,2.840000,2.760000,2.810000,2.751283,7847800
2022-06-16,2.750000,2.790000,2.710000,2.750000,2.692537,9093600
2022-06-17,2.800000,2.830000,2.770000,2.820000,2.761075,34425400
2022-06-21,2.950000,2.960000,2.890000,2.900000,2.839403,6488500
2022-06-22,2.920000,2.970000,2.900000,2.920000,2.858985,9582600
2022-06-23,2.850000,2.860000,2.790000,2.860000,2.800239,7037900
2022-06-24,2.850000,2.920000,2.850000,2.910000,2.849194,5319000
2022-06-27,2.910000,2.930000,2.870000,2.910000,2.849194,4343000
2022-06-28,2.920000,2.950000,2.870000,2.880000,2.819821,6349800
2022-06-29,2.880000,2.880000,2.820000,2.850000,2.790448,5426900
2022-06-30,2.750000,2.830000,2.730000,2.800000,2.741493,4027600
2022-07-01,2.760000,2.830000,2.720000,2.820000,2.761075,4540800
2022-07-05,2.650000,2.700000,2.620000,2.700000,2.643582,6328600
2022-07-06,2.590000,2.610000,2.560000,2.610000,2.555463,8781200
2022-07-07,2.650000,2.680000,2.650000,2.660000,2.604418,4874000
2022-07-08,2.640000,2.670000,2.610000,2.660000,2.604418,3543200
2022-07-11,2.590000,2.600000,2.570000,2.580000,2.526089,5071900
2022-07-12,2.430000,2.490000,2.420000,2.430000,2.379224,17417300
2022-07-13,2.420000,2.450000,2.390000,2.430000,2.379224,10880100
2022-07-14,2.330000,2.340000,2.280000,2.310000,2.261731,12916700
2022-07-15,2.360000,2.400000,2.330000,2.340000,2.291104,31339800
2022-07-18,2.400000,2.440000,2.400000,2.400000,2.349851,10682600
2022-07-19,2.490000,2.560000,2.490000,2.540000,2.486925,6351500
2022-07-20,2.460000,2.490000,2.430000,2.440000,2.389015,8813100
2022-07-21,2.460000,2.490000,2.440000,2.480000,2.428179,3726400
2022-07-22,2.470000,2.480000,2.430000,2.450000,2.398806,4508700
2022-07-25,2.490000,2.510000,2.470000,2.480000,2.428179,6273500
2022-07-26,2.440000,2.460000,2.410000,2.440000,2.389015,5029200
2022-07-27,2.460000,2.520000,2.460000,2.520000,2.467343,3800500
2022-07-28,2.410000,2.470000,2.390000,2.450000,2.398806,6463300
2022-07-29,2.430000,2.470000,2.420000,2.470000,2.418388,4067100
2022-08-01,2.460000,2.470000,2.410000,2.440000,2.389015,5436100
2022-08-02,2.420000,2.420000,2.380000,2.380000,2.330269,6256900
2022-08-03,2.430000,2.470000,2.420000,2.470000,2.418388,4644500
2022-08-04,2.480000,2.500000,2.460000,2.480000,2.428179,4471900
2022-08-05,2.520000,2.540000,2.500000,2.520000,2.467343,3971800
2022-08-08,2.570000,2.590000,2.540000,2.540000,2.486925,4816200
2022-08-09,2.610000,2.620000,2.570000,2.580000,2.526089,5770200
2022-08-10,2.630000,2.670000,2.620000,2.660000,2.604418,4115600
2022-08-11,2.710000,2.710000,2.670000,2.680000,2.624000,2885100
2022-08-12,2.710000,2.720000,2.680000,2.710000,2.653373,2223200
2022-08-15,2.640000,2.680000,2.630000,2.670000,2.614209,3039100
2022-08-16,2.670000,2.690000,2.650000,2.690000,2.633791,3501600
2022-08-17,2.630000,2.660000,2.620000,2.640000,2.584836,2962500
2022-08-18,2.650000,2.650000,2.600000,2.630000,2.575045,3361900
2022-08-19,2.530000,2.530000,2.500000,2.520000,2.467343,3299100
2022-08-22,2.460000,2.480000,2.430000,2.470000,2.418388,6156300
2022-08-23,2.480000,2.500000,2.470000,2.480000,2.428179,4933800
2022-08-24,2.450000,2.490000,2.430000,2.470000,2.418388,6844600
2022-08-25,2.430000,2.460000,2.420000,2.460000,2.408597,4920700
